,zip code,Percent Minority
0,77002,0.5447916666661166
1,77003,0.4987775061124694
2,77004,0.6408318526489651
3,77006,0.3271092922101799
4,77007,0.3386600630695118
5,77008,0.27683258904499597
6,77009,0.47541057775101647
7,77011,0.5522587015692504
8,77012,0.5734151509800459
9,77013,0.5128099790857483
10,77016,0.7186376636666578
11,77017,0.4958696971111216
12,77019,0.3317182258665673
13,77020,0.6785851718817361
14,77021,0.766461934008768
15,77022,0.5371308538418318
16,77023,0.5449823661429944
17,77025,0.4838991212230649
18,77026,0.7445098201707135
19,77027,0.34029634328696357
20,77028,0.7700151057401813
21,77029,0.5632015155095453
22,77033,0.7133070627462867
23,77034,0.5071719856464056
24,77035,0.6002248212192964
25,77036,0.6933894087079843
26,77037,0.6121123321123321
27,77039,0.5377240770686311
28,77040,0.5319496649750843
29,77041,0.5293281279988409
30,77042,0.5687960182633376
31,77043,0.4132251350114884
32,77045,0.6866041625770601
33,77047,0.7771537409650322
34,77048,0.8290660592255126
35,77049,0.534576112412178
36,77050,0.6238932965359401
37,77051,0.857903217930563
38,77053,0.6655553748451545
39,77054,0.717557251908397
40,77055,0.49937709630868354
41,77056,0.35336232101356924
42,77057,0.4445475969435121
43,77058,0.3507841221089859
44,77059,0.3201235700149636
45,77060,0.5629299279330215
46,77061,0.6467787786416412
47,77063,0.5451468223745451
48,77064,0.5654322245428149
49,77065,0.4941046185916227
50,77066,0.6223583196775516
51,77067,0.6343726315335425
52,77068,0.6063635700211634
53,77069,0.46362520631646087
54,77070,0.4978723404210206
55,77071,0.7002405498281787
56,77072,0.7227167820740361
57,77074,0.6222801869446937
58,77075,0.532478586045164
59,77076,0.4542756754182212
60,77077,0.5565331673237879
61,77078,0.6563804149767825
62,77079,0.34632522154984824
63,77080,0.6326108862378796
64,77081,0.6584533679156439
65,77082,0.6689478577634166
66,77083,0.7126396930411893
67,77084,0.5600116811058112
68,77085,0.6721303381875928
69,77086,0.6205518343945533
70,77087,0.5977174139970771
71,77088,0.688706571263054
72,77089,0.5592729038153987
73,77090,0.6899460883050075
74,77091,0.6542674168063204
75,77092,0.44671463480858
76,77093,0.5261105695702437
77,77094,0.38539343739899423
78,77095,0.46990375465266154
79,77096,0.44203731772330535
80,77098,0.3089939604992822
81,77099,0.7190394755583429
