Variable,Coefficient,P_Value,CI_Lower,CI_Upper,Significant
C(season)[T.Fall],0.22112492107812312,6.7916816750016275e-09,0.14634970223740146,0.2959001399188448,True
rainfall_cum7,0.10642879671299108,3.964384487550635e-15,0.07987644257639663,0.1329811508495855,True
rainfall,0.07857308750577777,0.017197710829936104,0.013933659538913137,0.1432125154726424,True
percent_other,0.0371058508964859,2.8545407371526025e-111,0.03386122086092759,0.040350480932044214,True
income_scaled,0.030129879341055675,3.1105247206457864e-73,0.02686749635280765,0.0333922623293037,True
percent_black,0.02996782110986945,5.211574362242839e-59,0.02634169792406268,0.03359394429567622,True
percent_white,0.004148600192257152,0.02195188013051695,0.0005997572820736772,0.007697443102440626,True
C(season)[T.Summer],-0.35624413333955257,4.374894046937745e-18,-0.4367907226946486,-0.27569754398445656,True
C(season)[T.Spring],-0.5483745557370032,1.460101167062779e-48,-0.6217667692312052,-0.4749823422428012,True
